file_type,proj_count,total_count
nan,42539,6885808
py,42378,4580289
md,40234,528742
txt,40177,5231108
png,26492,4709256
csv,18287,2316519
json,15171,1530775
sh,14638,253283
html,14497,475993
jpg,13696,6462861
css,10796,136310
yml,10588,66010
pdf,9917,185907
js,9624,1737781
svg,7102,581515
gif,6592,51774
cfg,6451,20030
pyc,6430,1214514
rst,6418,135774
yaml,6037,161917
xml,5588,434559
pkl,5519,159547
in,5294,21288
bat,5206,74065
ico,4451,9165
ini,4442,30167
h5,3966,40598
jpeg,3942,509994
zip,3848,16709
lock,3832,8895
ttf,3762,34157
gz,3259,198298
xlsx,3043,31131
h,3015,746963
woff,2828,21450
npy,2759,332311
eot,2545,13133
index,2515,30902
toml,2460,7662
cpp,2287,269685
pickle,2262,117011
conf,2235,15371
woff2,2200,14531
data-00000-of-00001,2194,28873
c,2050,328966
pb,2038,20109
map,1996,131373
log,1967,56112
sql,1920,20204
tsv,1902,40373
ipynb,1891,39725
tex,1773,16110
mp4,1761,14349
java,1699,301306
scss,1641,72453
docx,1631,27670
pptx,1582,5052
properties,1553,11001
r,1489,16866
pyx,1479,7204
dat,1472,62816
bib,1462,2851
jar,1426,20151
m,1411,57524
exe,1371,14546
meta,1303,128552
db,1298,4233
wav,1283,229657
otf,1254,3387
hdf5,1197,24877
ts,1181,223091
mat,1157,91797
npz,1090,34296
cc,1049,330056
proto,1037,26978
sav,991,19203
pt,983,26919
bin,978,81384
pth,972,30702
data,970,4209
config,960,18722
so,905,34441
gradle,888,12519
sqlite3,874,1340
joblib,869,20156
pem,856,4056
out,849,32569
ps1,838,3213
inv,808,984
model,802,6025
pbtxt,765,245978
names,761,1723
hpp,758,181896
less,726,21242
xls,692,4409
tmpl,679,2850
dll,670,25675
pxd,631,10729
mp3,629,51236
plist,621,4983
tpl,620,4260
patch,602,5673
cmake,593,50850
pro,592,4623
p,588,65367
1,581,5127
cmd,576,3852
pl,568,8616
cu,542,8716
cs,539,68979
template,538,2660
dot,537,3269
vue,536,15597
sln,512,2257
whl,495,3816
doctree,493,7795
bash,480,1151
rmd,472,2773
tgz,468,6375
go,463,89144
sty,457,1290
o,434,18270
fish,433,622
pbxproj,433,1967
eps,433,5407
php,431,35262
bmp,430,25332
tif,429,28851
csh,418,588
0,417,6250
bak,417,1758
dockerfile,411,3274
launch,398,12208
tab,396,11060
jsx,392,7662
tsx,386,20628
prototxt,385,8041
f,381,7212
bz2,379,1950
msg,379,12181
test,370,2391
gpu,368,811
key,364,2555
arff,363,9338
storyboard,358,2530
a,352,4284
cls,350,605
ui,348,3467
typed,347,1091
mako,345,708
kt,337,9956
fits,332,14359
obj,329,20292
f90,328,7690
swift,325,12395
pyi,318,63391
mk,318,2576
tflite,316,2959
po,312,162763
drawio,311,725
rb,309,31878
sqlite,306,724
csproj,305,2519
scala,305,26742
webp,304,47190
markdown,301,7013
psd,301,2305
iml,300,835
pyd,299,21481
avi,299,1719
cff,298,304
geojson,296,1825
mod,294,2692
jsonl,293,5705
egg,292,544
caffemodel,292,642
bzl,289,5444
env,286,1514
7,285,1362
shp,285,2076
ino,282,1679
class,280,30541
shx,276,1849
prj,275,1896
nc,275,1954
def,271,1448
tar,270,1650
lib,270,2020
info,269,18340
cpu,268,619
xcscheme,267,917
mo,267,163684
lua,267,6131
rar,266,627
dbf,266,1848
zi,262,300
inc,261,5597
parquet,260,10598
aux,260,839
build,258,4692
bst,255,443
bsd,254,789
example,254,546
doc,253,3538
vcxproj,252,3947
dvc,251,45834
xz,248,2640
rc,248,2075
user,242,7057
enc,242,4953
tfrecord,236,9800
htm,234,3067
xcworkspacedata,233,780
spec,232,412
list,230,1159
service,229,484
ppm,221,767132
ai,220,612
pdb,218,31832
v2,218,59181
rproj,216,396
orig,215,642
2,212,1108
stl,212,10870
data-00000-of-00002,211,837
i,211,7046
data-00001-of-00002,210,838
rtf,209,33951
3,209,4304
ods,207,450
6,204,884
crt,203,738
mm,203,4577
onnx,202,3564
fasta,201,27326
com,200,2858
filters,197,2196
cxx,193,3938
odt,189,371
sum,188,752
mplstyle,187,3040
coffee,186,2768
sbt,182,894
org,182,1000
gzip,181,30989
gin,180,5872
tf,179,2763
bazel,179,3779
old,178,573
jfif,177,1559
mov,177,655
jsonnet,176,5456
ogg,175,740
kml,172,685
vocab,168,511
train,168,521
tcl,167,9550
rs,166,6111
local,166,1253
py~,164,539
code-workspace,163,191
tiff,163,5360
toc,161,473
dtd,161,1187
ac,161,471
sample,161,639
8,160,1203
s,160,10897
z,159,563
am,159,2036
record,159,330
lst,158,1270
xcconfig,157,1202
cpg,153,623
5,152,923
icns,152,865
webmanifest,152,178
save,152,443
xcf,149,487
j2,149,3150
bbl,146,233
jl,146,41716
xsl,145,1239
props,144,2636
lzma,143,739
dev,143,206
flow,141,6746
m4,140,1882
asset,140,5580
fa,139,2254
swf,139,1398
