file_type,proj_count,total_count
nan,42539,6885808
py,42378,4580289
md,40234,528742
txt,40177,5231108
png,26492,4709256
csv,18287,2316519
json,15171,1530775
sh,14638,253283
html,14497,475993
jpg,13696,6462861
css,10796,136310
yml,10588,66010
pdf,9917,185907
js,9624,1737781
svg,7102,581515
gif,6592,51774
cfg,6451,20030
pyc,6430,1214514
rst,6418,135774
yaml,6037,161917
xml,5588,434559
pkl,5519,159547
in,5294,21288
bat,5206,74065
ico,4451,9165
ini,4442,30167
h5,3966,40598
jpeg,3942,509994
zip,3848,16709
lock,3832,8895
ttf,3762,34157
gz,3259,198298
xlsx,3043,31131
h,3015,746963
woff,2828,21450
npy,2759,332311
eot,2545,13133
index,2515,30902
toml,2460,7662
cpp,2287,269685
pickle,2262,117011
conf,2235,15371
woff2,2200,14531
data-00000-of-00001,2194,28873
c,2050,328966
pb,2038,20109
map,1996,131373
log,1967,56112
sql,1920,20204
tsv,1902,40373
ipynb,1891,39725
tex,1773,16110
mp4,1761,14349
java,1699,301306
scss,1641,72453
docx,1631,27670
pptx,1582,5052
properties,1553,11001
r,1489,16866
pyx,1479,7204
dat,1472,62816
bib,1462,2851
jar,1426,20151
m,1411,57524
exe,1371,14546
meta,1303,128552
db,1298,4233
wav,1283,229657
otf,1254,3387
hdf5,1197,24877
ts,1181,223091
mat,1157,91797
npz,1090,34296
cc,1049,330056
proto,1037,26978
sav,991,19203
pt,983,26919
bin,978,81384
pth,972,30702
data,970,4209
config,960,18722
so,905,34441
gradle,888,12519
sqlite3,874,1340
joblib,869,20156
pem,856,4056
out,849,32569
ps1,838,3213
inv,808,984
model,802,6025
pbtxt,765,245978
names,761,1723
hpp,758,181896
less,726,21242
xls,692,4409
tmpl,679,2850
dll,670,25675
pxd,631,10729
mp3,629,51236
plist,621,4983
